Country Name	Country Code	Indicator Name	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
Myanmar	MMR	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	30.7					33.6	35.2		35.7																
Middle East & North Africa (developing only)	MNA	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)					17.49610827							15.93500339	18.82324734	16.93924872	16.61384083	17.81834908				16.70296659	16.85605218				
Montenegro	MNE	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)				38.7	39.8	40.1	41.7	42.4	42.4	43.2	44	44.3				43.4				46.3		46.8	47.2		
Mongolia	MNG	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)				48.5	47.3	46.2	47.1	46.6	47	46.9	48.6	48.9	49.9	49.3	51.2	51.2	52	51.2	51.1	52	52.3	50.6	49.9		
Northern Mariana Islands	MNP	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	44					43.9																			
Mozambique	MOZ	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	11.4																								
Mauritania	MRT	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)											35.8														
Mauritius	MUS	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	37.4	36.1	36.6	36.9	36.4	37.1	37.1	37.4	38.2	38.4	38.6	39	38.1	38.4	37.5	36.9	37.2	37.2	37	37	37.7	38.4	38.3		
Malawi	MWI	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	10.5	10.4	10.6	10.6	10.8	11.3																			
Malaysia	MYS	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)		35.3				35.2	35.3	34.9	35.4	35.4	37.9	37.2	37.3	37.9	38.3	38.5	38.7	39	39.2	39.1	39.3	38.6	38.7		
North America	NAC	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	46.63053693	47.08201748	47.28079675	47.3804292	47.25918014	47.27845289	47.36831847	47.37791512	47.48830022	47.65909564	47.48931634	47.54027294	47.63301257	47.85642172	47.69976142	47.51992579	47.53105832	47.65545105	47.93471109	48.5358893	48.51675565	48.018943	48.03106029		
Namibia	NAM	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)											42.8	40.7			41.4								42.4		
New Caledonia	NCL	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)							40.9																		
Niger	NER	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	24.7															25.4	27.2	30.4	36.1						
Nigeria	NGA	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)										19	18.6	19.3	20.1	20.8	21	21.1									
Nicaragua	NIC	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)														39.5	38.6	38.3	38.6	38.1							
Netherlands	NLD	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	37.7	38.6	40.1	41	41.4	41.7	42	42.7	43	43.5	43.9	44.3	45	45.7	45.7	46.2	46.7	47.3	47.7	47.8	48.2	48.4	48.6		
High income: nonOECD	NOC	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)			50.51326712	49.68400728	49.46431868	49.49886778	49.4220544	49.13513827	49.37309843	48.72403282	48.98860072	48.81137959	49.09194352	50.29506773	50.23572094	50.25047514	49.44358556	49.25304069	48.48395096	49.27804294	50.31932786				
Norway	NOR	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	47	47.5	47.5	47.8	47.7	47.7	47.8	48	48.1	48.3	48.2	48.3	48.9	49.1	49.2	49	49.3	49.2	49.1	49.4	49.3	49.3	49.1		
Nepal	NPL	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)										15.1		14													
New Zealand	NZL	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	45.1	45.5	45.5	45.4	45.7	45.6	46.2	46.4	46.7	47.1	47.1	47.3	47.1	47.4	47.5	47.5	47.3	47.1	47	47.5	47.9	47.7	47.5		
High income: OECD	OEC	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	43.26548959	43.53825928	43.68196047	43.87311644	43.95066113	44.14194825	44.4135796	44.54072019	44.56445764	44.9389353	45.04876716	45.31918632	45.55186547	45.78767587	45.93222531	45.93413171	46.07461357	46.1972619	46.44499322	46.97422802	47.10286243	46.99757585	47.12540835		
OECD members	OED	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	43.26548959	42.33873258	42.90351283	42.76629417	43.18387127	42.98498519	43.22490065	43.36881255	43.39096191	43.72481669	43.95968907	44.18231716	44.41728757	44.61931626	44.80601638	44.91363503	45.04450185	45.16737616	45.3769016	45.8335084	45.87496605	45.77067905	45.91261707		
Oman	OMN	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	18.7	19.2	20.3	20.9	20.2	20.9	21.9	22	22.6	23.4	24.5	25.3							21.9						
Other small states	OSS	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)																									
Pakistan	PAK	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	7.7	9.5	10.2	9.5	9.5	8.8	8.8	12.2	9.8	9.9	13	13	13.6	13.6	13.9	13.9	13.4	13.2	12.6						
Panama	PAN	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)			43.4	42.9	42.3	42.7	42.5	43.5	41.7	42.2	43	43	43.5	44	43.6	43.4	42.5	43.1	42.2	42.1	42.9	44.6	43.9		
Peru	PER	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)							29	30.1	31	32.8	30.8	32	32.4	33.3	32.2	32.5	32.3	34	34.7	35.1	35.8	37.6	37.6		
Philippines	PHL	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)		40.4	40.3	40.3	40.1	40	38.8	39.7	40.5	40.4	40.9	41.2	41.9	41.3	40.7	41.4	41.9	41.9	41.7	41.9	42	41.8	41.4		
Palau	PLW	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	39.5					42.2					39.6														
Papua New Guinea	PNG	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	27.9										32.1														
Poland	POL	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)						47.3	47.1	46.6	46.8	47.1	46.9	47	47.5	47.7	47.2	46.7	46.6	46.7	47.3	46.9	47.2	47	46.7		
Puerto Rico	PRI	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	46.5	46.4	45.8	45.3	44.7	43.9	42.7	41.6	40.6	40	39.6	41.3	40.7	40.1	39.9	40.5	40.8	41.5	41.7	43.8	46.3				
Korea, Dem. Rep.	PRK	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	40.7																								
Portugal	PRT	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	42.5	42.9	44.5	44.7	45.1	45.9	45.8	45.7	45.3	45.7	45.7	46.2	46.4	46.9	47.4	47.3	47.3	47.6	47.6	48.7	49	49.6	50.3		
Paraguay	PRY	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	41	39.9	44.2	42.7	40.7		41.9				39.3		37.7	38.9	40	40.1	38.7	40.2	39.5	40.1	39.3	41.8	41.1		
Pacific island small states	PSS	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)																									
French Polynesia	PYF	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)						42.3	42.8	42.4	41.9	41.7	42.4	41.8	42.5	42.2	42.7	42.5	42.8	42.7		44.7	45				
Qatar	QAT	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)								14.2				14.5			15.5		14.6	12.3		9.8	12.1				
Romania	ROU	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	41.9	43	42.5	42.2	43	42	43	43.5	44	44.8	45.5	45.7	45.2	45.3	46.5	46.2	46.6	46.1	45.8	45.7	45.8	45.7	45.6		
Russian Federation	RUS	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)			51.2	50.3	50.2	50.2	50.1	50.1	50.3	50.2	50.4	50.4	50.6	51	50.9	50.9	51.2	51	50.6	50.9	50.7	50.7	50.6		
Rwanda	RWA	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)						32.4					33														
South Asia	SAS	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	12.48888499	14.03475002	13.16598758	13.51382164	13.89087046	14.18062059	16.51168385	15.64616808	16.06398137	16.22844249	17.92396194	16.74649313	17.37747877	18.20062998	17.90641507	18.41039163				19.38519841	19.3318092				
Saudi Arabia	SAU	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)										14.9	14	14.2	14				14.6	14.7	14.6	14.3					
Sudan	SDN	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	22.2		20.1																						
Senegal	SEN	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)												10.6													
Singapore	SGP	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)		42.5	42.9	43.3	43	41	44.7	41.8	42.5	42.8		43.6	43.2	43.5	44		44.8	45.1	45.7	45.4					
Solomon Islands	SLB	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)										30.8															
Sierra Leone	SLE	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)															23.2										
El Salvador	SLV	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)						30	28.7	29.2	36.1	36.7	32.3	31.3	33.5	33	30.8	32.5	33.1	32.9		33.2	32.8	32.7	32.7		
San Marino	SMR	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	40.4	40.8	40.5	40.3		39.9	39.9	40.5	40.4	41.2		41.5	41.7	41.9	42.2	42.1	42.1	42.2	42.2	42.9	43.4				
Somalia	SOM	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	21.7																								
Serbia	SRB	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)				38.7	39.8	40.1	41.7	42.4	42.4	43.2	44	44.3			43.9	41.6	43.5	43.9	44	45.6	45.6	44.8	45		
Sub-Saharan Africa (developing only)	SSA	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)																									
South Sudan	SSD	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)																									
Sub-Saharan Africa (all income levels)	SSF	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)																									
Small states	SST	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)																									
Sao Tome and Principe	STP	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)		32.1																							
Suriname	SUR	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	41		37.2	38.3	37.2	35.8	36.6	36.5	34.7	37.7					38.1					36.3					
Slovak Republic	SVK	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	46.8	44.9	47.3	47.3	47.4	47.2	47.2	47.5	47.6	48.4	48.9	49	48.6	48.7	48.5	48.1	47.2	47.4	47.7	47.8	48.7	48.2	47.6		
Slovenia	SVN	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	47.8	48.1	48.5	48.8	48.7	48	49	46.5	48.1	47.9	48	47.7	47.9	47.4	47.6	47.4	47.9	46.8	47.4	47.9	47.9	48	48		
Sweden	SWE	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	50.5	50.7	51.5	52	51.6	51.3	51.1	50.9	50.5	50.5	50.6	50.7	50.9	50.9	50.9	50.5	50.3	50.1	49.9	50.2	49.8	49.9	50.2		
Swaziland	SWZ	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)				35.2	34.4	33.2	33	32.4																	
Sint Maarten (Dutch part)	SXM	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)																									
Seychelles	SYC	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)			49.4																			54			
Syrian Arab Republic	SYR	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)		15.2										16.1	15.9	16.1				16.3	15.9	15.3	15.5	15.9			
Turks and Caicos Islands	TCA	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)														41	42.2	41.6	40.5	38.1	38						
Chad	TCD	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	3.8	5.5																							
Togo	TGO	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	41																								
Thailand	THA	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	41.9	41.9	41.5	41.8	41.9	41.3	40.8	42.4	43.5	43.9	44.1	44.3	44.2	44.5	44	45.4	45.1	45	45.4	45.5	45.4	45.8	45.4		
Tajikistan	TJK	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)		21.2	21.7	23.5	22.8	23.3	23.6	23.7	25	24.2	23.2	23.7	24.1	23.8	23.1	22.9	21.5			28.9					
Turkmenistan	TKM	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)						39.9							42.1												
Timor-Leste	TLS	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)												35													
Tonga	TON	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)							35.6																		
Trinidad and Tobago	TTO	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	35.6	36.3	38.3	38.5	38.8	39.2	39.7	38.8	39.4	39.9	40	39.9	41.4	41.9	43.5	43.9				45.6	46.3				
Tunisia	TUN	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)					22.7					24.1	24.3	24.6	24.9	25								26.5	27.7		
Turkey	TUR	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)		16	17.2	16.7	17.7	17.9	17.6	18.2	18.7	19	19.5	19.5	21.3	21	20.4	20.9	21.5	22.4	23	23	23	23.6	25		
Tuvalu	TUV	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)													34.3	39.1	33.9										
Tanzania	TZA	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)																	30.5					31.1			
Uganda	UGA	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)														30.9							34.9				
Ukraine	UKR	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)						51.1	50.3	51	51.4	51.1	50	50.5	50.6	50.9	51	49.6	49.5	49.3	49.1	50.6	50.3	49.8	49.6		
Upper middle income	UMC	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	38.18013313	37.66096736	36.52471717	37.76861506	38.05745201	39.06284701	38.86203847	39.05747208	38.01390945	39.03096021															
Uruguay	URY	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	42.3				43.5						46.4	46.5	45.8	48.1		48.8	45.1	45.5		47.9	49.3		48.2		
United States	USA	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	46.6	47	47.2	47.3	47.2	47.2	47.3	47.3	47.4	47.6	47.4	47.4	47.5	47.7	47.5	47.3	47.3	47.4	47.7	48.3	48.3	47.8	47.8		
Uzbekistan	UZB	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)		37	37.1	36.5	36.5	36	36.9	37.1	37.2	37.2	37.1	41.6	37.1	37	40.6	40.3	40.3	39.4							
St. Vincent and the Grenadines	VCT	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)																									
Venezuela, RB	VEN	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	35.2	35.7	35.7	34.7	35.7	36.7	37.4	37.8	38.7	39.2	39.8	41.4	41.8	42.2	42.1	41.6	41	41.4	41.6	42.7	43.1	43.4	44		
Virgin Islands (U.S.)	VIR	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)					48.3																				
Vietnam	VNM	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)							41	41	42.2	41.9	40.7	40.7	40.8	40.1	40.4										
Vanuatu	VUT	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)															37.5	37.9	38.3	37.8	38.9						
West Bank and Gaza	PSE	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)							15.3	13.3	12.2	12.5	13.5	15.9	17	16.8	17.9	16.1	17.1	17	17.9	18.8	17.2	17	16.7		
World	WLD	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	34.5126064	34.59705967	35.33239705	35.93713418	35.92176295	36.84011063	36.87417386	37.29310053	36.91670141	37.09720556				36.44077731	37.0724096	36.55329569									
Samoa	WSM	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)												36.7													
Yemen, Rep.	YEM	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)					6.4					6.4	7	6.5		6.1	6		6.3	6.2		10	11.7				
South Africa	ZAF	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)											41.1	42	40.7	41.6	40.8	41.4	41.3	42	44	45	44.5	46.9	47.3		
Congo, Dem. Rep.	COD	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	25.9																								
Zambia	ZMB	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	16.6										22														
Zimbabwe	ZWE	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)	15.4	15.6	15.2	16.2	16.8	17.2	17.7	18	18.6	18.9	20.4	21.5	21.9									33.9			
