Series Name,Series Code,Country Name,Country Code,2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Spain,ESP,..,..,..,..,..,38.49073,..,..,57.58047,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Sri Lanka,LKA,..,..,..,..,..,30.20919,..,..,33.49559,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,St. Kitts and Nevis,KNA,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,St. Lucia,LCA,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,St. Vincent and the Grenadines,VCT,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Sub-Saharan Africa (all income levels),SSF,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Sub-Saharan Africa (developing only),SSA,..,..,..,..,..,16.21057,..,..,18.3657,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Sudan,SDN,..,..,..,..,..,4.402533,..,..,10.77854,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Suriname,SUR,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Swaziland,SWZ,..,..,..,..,..,20.18718,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Sweden,SWE,..,..,..,..,..,63.13327,..,..,75.8261,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Switzerland,CHE,..,..,..,..,..,..,..,..,63.89758,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Syrian Arab Republic,SYR,..,..,..,..,..,5.366752,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Tajikistan,TJK,..,..,..,..,..,0.5101956,..,..,2.195248,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Tanzania,TZA,..,..,..,..,..,12.4403,..,..,9.874002,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Thailand,THA,..,..,..,..,..,42.77652,..,..,43.68932,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Timor-Leste,TMP,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Togo,TGO,..,..,..,..,..,4.666297,..,..,7.155048,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Tonga,TON,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Trinidad and Tobago,TTO,..,..,..,..,..,47.54625,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Tunisia,TUN,..,..,..,..,..,..,..,..,12.08838,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Turkey,TUR,..,..,..,..,..,6.295385,..,..,12.92707,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Turkmenistan,TKM,..,..,..,..,..,0,..,..,0.4236444,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Tuvalu,TUV,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Uganda,UGA,..,..,..,..,..,19.99902,..,..,18.99567,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Ukraine,UKR,..,..,..,..,..,5.747428,..,..,9.710564,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,United Arab Emirates,ARE,..,..,..,..,..,22.06657,..,..,36.53802,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,United Kingdom,GBR,..,..,..,..,..,46.37527,..,..,51.78699,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,United States,USA,..,..,..,..,..,53.25621,..,..,54.76595,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Upper middle income,UMC,..,..,..,..,..,25.82628,..,..,33.37159,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Uruguay,URY,..,..,..,..,..,5.390497,..,..,15.7461,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Uzbekistan,UZB,..,..,..,..,..,1.123752,..,..,2.14278,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Vanuatu,VUT,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,"Venezuela, RB",VEN,..,..,..,..,..,17.95971,..,..,23.27024,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Vietnam,VNM,..,..,..,..,..,8.879519,..,..,15.59471,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,West Bank and Gaza,WBG,..,..,..,..,..,7.471089,..,..,5.224381,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,World,WLD,..,..,..,..,..,24.07693,..,..,28.99751,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,"Yemen, Rep.",YEM,..,..,..,..,..,2.093597,..,..,1.656144,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Zambia,ZMB,..,..,..,..,..,10.46744,..,..,17.35757,..
"Saved at a financial institution, male (% age 15+) [ts]",WP_time_04.2,Zimbabwe,ZWE,..,..,..,..,..,17.60922,..,..,6.722616,..
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data from database: Gender Statistics,,,,,,,,,,,,,
Last Updated: 09/24/2015,,,,,,,,,,,,,
